School Year,Division Number,Division Name,School Number,School Name,Subject,Test Source,Pass Rate,Division Number,State School ID
2017-2018,002,Albemarle County,40,Mary Carr Greer Elementary,English:Reading,SOL,46.24,002,VA-002-0020040
2017-2018,002,Albemarle County,40,Mary Carr Greer Elementary,Mathematics,SOL,51.07,002,VA-002-0020040
2017-2018,002,Albemarle County,40,Mary Carr Greer Elementary,Science,SOL,61.54,002,VA-002-0020040
2017-2018,002,Albemarle County,40,Mary Carr Greer Elementary,History and Social Science,SOL,73.77,002,VA-002-0020040
2017-2018,002,Albemarle County,69,Jackson P. Burley Middle,Science,SOL,71.02,002,VA-002-0020069
2017-2018,002,Albemarle County,69,Jackson P. Burley Middle,English:Reading,SOL,74.95,002,VA-002-0020069
2017-2018,002,Albemarle County,69,Jackson P. Burley Middle,History and Social Science,SOL,75.74,002,VA-002-0020069
2017-2018,002,Albemarle County,69,Jackson P. Burley Middle,English:Writing,SOL,77.11,002,VA-002-0020069
2017-2018,002,Albemarle County,69,Jackson P. Burley Middle,Mathematics,SOL,83.05,002,VA-002-0020069
2017-2018,002,Albemarle County,100,Broadus Wood Elementary,Mathematics,SOL,80,002,VA-002-0020100
2017-2018,002,Albemarle County,100,Broadus Wood Elementary,Science,SOL,80,002,VA-002-0020100
2017-2018,002,Albemarle County,100,Broadus Wood Elementary,English:Reading,SOL,81.43,002,VA-002-0020100
2017-2018,002,Albemarle County,100,Broadus Wood Elementary,History and Social Science,SOL,83.33,002,VA-002-0020100
2017-2018,002,Albemarle County,140,Western Albemarle High,Mathematics,SOL,79.03,002,VA-002-0020140
2017-2018,002,Albemarle County,140,Western Albemarle High,History and Social Science,SOL,89.05,002,VA-002-0020140
2017-2018,002,Albemarle County,140,Western Albemarle High,Science,SOL,89.34,002,VA-002-0020140
2017-2018,002,Albemarle County,140,Western Albemarle High,English:Reading,SOL,95.19,002,VA-002-0020140
2017-2018,002,Albemarle County,140,Western Albemarle High,English:Writing,SOL,95.26,002,VA-002-0020140
2017-2018,002,Albemarle County,150,Paul H. Cale Elementary,Science,SOL,52,002,VA-002-0020150
2017-2018,002,Albemarle County,150,Paul H. Cale Elementary,Mathematics,SOL,57.1,002,VA-002-0020150
2017-2018,002,Albemarle County,150,Paul H. Cale Elementary,English:Reading,SOL,58.84,002,VA-002-0020150
2017-2018,002,Albemarle County,150,Paul H. Cale Elementary,History and Social Science,SOL,60.24,002,VA-002-0020150
2017-2018,002,Albemarle County,160,Agnor-Hurt Elementary,Science,SOL,61.36,002,VA-002-0020160
2017-2018,002,Albemarle County,160,Agnor-Hurt Elementary,Mathematics,SOL,65.32,002,VA-002-0020160
2017-2018,002,Albemarle County,160,Agnor-Hurt Elementary,English:Reading,SOL,66.8,002,VA-002-0020160
2017-2018,002,Albemarle County,160,Agnor-Hurt Elementary,History and Social Science,SOL,80.28,002,VA-002-0020160
2017-2018,002,Albemarle County,240,Stony Point Elementary,Science,SOL,68.89,002,VA-002-0020240
2017-2018,002,Albemarle County,240,Stony Point Elementary,Mathematics,SOL,72.8,002,VA-002-0020240
2017-2018,002,Albemarle County,240,Stony Point Elementary,English:Reading,SOL,75.2,002,VA-002-0020240
2017-2018,002,Albemarle County,240,Stony Point Elementary,History and Social Science,SOL,86.36,002,VA-002-0020240
2017-2018,002,Albemarle County,250,Meriwether Lewis Elementary,Mathematics,SOL,82.97,002,VA-002-0020250
2017-2018,002,Albemarle County,250,Meriwether Lewis Elementary,English:Reading,SOL,89.08,002,VA-002-0020250
2017-2018,002,Albemarle County,250,Meriwether Lewis Elementary,Science,SOL,95.18,002,VA-002-0020250
2017-2018,002,Albemarle County,250,Meriwether Lewis Elementary,History and Social Science,SOL,97.56,002,VA-002-0020250
2017-2018,002,Albemarle County,340,Crozet Elementary,Science,SOL,67.31,002,VA-002-0020340
2017-2018,002,Albemarle County,340,Crozet Elementary,English:Reading,SOL,68.85,002,VA-002-0020340
2017-2018,002,Albemarle County,340,Crozet Elementary,Mathematics,SOL,69.78,002,VA-002-0020340
2017-2018,002,Albemarle County,340,Crozet Elementary,History and Social Science,SOL,75,002,VA-002-0020340
2017-2018,002,Albemarle County,540,Red Hill Elementary,Mathematics,SOL,58.14,002,VA-002-0020540
2017-2018,002,Albemarle County,540,Red Hill Elementary,English:Reading,SOL,59.3,002,VA-002-0020540
2017-2018,002,Albemarle County,540,Red Hill Elementary,History and Social Science,SOL,69.23,002,VA-002-0020540
2017-2018,002,Albemarle County,540,Red Hill Elementary,Science,SOL,74.07,002,VA-002-0020540
2017-2018,002,Albemarle County,880,Albemarle High,Mathematics,SOL,72.7,002,VA-002-0020880
2017-2018,002,Albemarle County,880,Albemarle High,History and Social Science,SOL,78.01,002,VA-002-0020880
2017-2018,002,Albemarle County,880,Albemarle High,Science,SOL,80.47,002,VA-002-0020880
